Respondent ID,Date(s),Position / Role,State/Location,Language(s),Duration,Audio Transcript Available
1,27/01/24,"MLA, Samajwadi Party",Uttar Pradesh,Hindi,34 mins,Yes
2,29/01/24 - 30/01/24,"Media Editor, English Newspaper",Uttar Pradesh,English,30 mins; 46 mins,Yes
3,17/02/24,"Bureaucrat, PA to Cabinet Minister",New Delhi,Hindi,35 mins,No (field notes only)
4,22/02/24,"Media Editor, Hindi Newspaper",Uttar Pradesh,Hindi,1 hr 14 mins,Yes
5,22/02/24,"Media Reporter, Hindi News Channel",New Delhi,Hindi,1 hr 3 mins,Yes
6,22/02/24,"MP, Jharkhand Mukti Morcha",New Delhi,Hindi,1 hr 23 mins,Yes
7,23/02/24,"Civil Society Leader, Pro-Democracy NGO",New Delhi,Hindi,1 hr 12 mins,Yes
8,23/02/24,"Senior Editor, Network18 / ex-SFI (CPIM)",New Delhi,Hindi,1 hr 14 mins,Yes
9,24/02/24,"Party Official, BJP Kisan Morcha",New Delhi,Hindi,41 mins,Yes
10,24/02/24,"MLA, Aam Aadmi Party",New Delhi,Hindi and English,1 hr 3 mins,Yes
11,27/02/24,Professor and ex-Journalist,New Delhi,Hindi,1 hr 29 mins,Yes
12,29/02/24,Former Chief Election Commissioner,New Delhi,Hindi and English,56 mins,Yes
13,27/03/24,"Senior Party Official, BJP",Uttarakhand,Hindi,1 hr 8 mins,Yes
14,27/03/24,"MLA, BJP",Uttarakhand,Hindi,36 mins,Yes
15,28/03/24,"Cabinet Minister, BJP",Uttarakhand,Hindi,41 mins,No (field notes only)
16,28/03/24,Ex-Mayor of Dehradun,Uttarakhand,Hindi,29 mins,Yes
17,28/03/24,"MLA, BJP",Uttarakhand,Hindi,53 mins,Yes
18,29/03/24,"MLA, BJP",Uttarakhand,Hindi,45 mins,Yes
19,29/03/24,"MLA, INC",Uttarakhand,Hindi,58 mins,Yes
20,29/03/24,"Ex-Cabinet Minister & MLA, INC",Uttarakhand,Hindi,1 hr 2 mins,Yes
21,30/03/24,"Party Official, BJP",Uttarakhand,Hindi,28 mins,No (field notes only)
22,30/03/24,"Spokesperson, INC",Uttarakhand,Hindi,57 mins,Yes
23,31/03/24,"Senior Party Official, INC",Uttarakhand,Hindi,1 hr 8 mins,Yes
